RESULT_COUNT: 966,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE
0089,TEXC:MK,BBG000H7ZHX3,BBG000H7ZHB7,TEXC:MK,TEX CYCLE TECHNOLOGY (M) BHD,Equity,Common Stock,,2017-08-29
0090,ELSR:MK,BBG000H80QG8,BBG000H80PJ7,ELSR:MK,ELSOFT RESEARCH BHD,Equity,Common Stock,,2017-09-13
0091,DAYA:MK,BBG000H9C8F4,BBG000H9C7N7,DAYA:MK,DAYA MATERIALS BHD,Equity,Common Stock,,2013-07-29
0092,MTTB:MK,BBG000H9CBB1,BBG000H9CB58,MTTB:MK,MTOUCHE TECHNOLOGY BHD,Equity,Common Stock,,2017-03-22
0093,SOLE:MK,BBG000H9C4N4,BBG000H9C409,SOLE:MK,SOLUTION ENGINEERING HLDGS BHD,Equity,Common Stock,,2016-12-08
0094,INIX:MK,BBG000HZT4D9,BBG000HZT3H7,INIX:MK,INIX TECHNOLOGIES HOLDINGS BHD,Equity,Common Stock,,2016-09-21
0095,XHB:MK,BBG000HZT2R8,BBG000HZS0J2,XHB:MK,XINGHE HOLDINGS BERHAD,Equity,Common Stock,,2015-08-20
0096,NNCB:MK,BBG000DQ15R5,BBG000DQ15H6,NNCB:MK,NEXGRAM HOLDINGS BERHAD,Equity,Common Stock,,2014-04-21
0097,VITRO:MK,BBG000C4XMW7,BBG000C4XMQ4,VITRO:MK,VITROX CORPORATION BHD,Equity,Common Stock,,2017-07-19
0098,BORN:MK,BBG000J2Z2L8,BBG000J2Z1L0,BORN:MK,BORNEO AQUA HARVEST BHD,Equity,Common Stock,,2017-08-14
0099,SCIC:MK,BBG000C3FMY7,BBG000C3FM95,SCIC:MK,SCICOM MSC BHD,Equity,Common Stock,,2017-09-08
0100,ESC:MK,BBG000D6S233,BBG000D6S1P1,ESC:MK,ES CERAMICS TECHNOLOGY BHD,Equity,Common Stock,,2016-09-22
0101,TMCL:MK,BBG000FDFVH1,BBG000FDFT13,TMCL:MK,TMC LIFE SCIENCES BHD,Equity,Common Stock,,2017-01-26
0102,CCHB:MK,BBG000JHQFD5,BBG000JHPC61,CCHB:MK,CONNECTCOUNTY HOLDINGS BHD,Equity,Common Stock,,2016-05-13
0102PA,CONNMK V0 06/07/21 ICPS:BURSA MALAYSIA,BBG00D33FFG4,,CONNMK V0 06/07/21 ICPS:BURSA MALAYSIA,CONNECTCOUNTY HOLDINGS BHD,Pfd,PUBLIC,,2017-07-03
0103,MNCW:MK,BBG000JFVHK1,BBG000JFVGK3,MNCW:MK,M N C WIRELESS BHD,Equity,Common Stock,,2016-10-11
0104,GENE:MK,BBG000JFVV66,BBG000JFVT07,GENE:MK,GENETEC TECHNOLOGY BHD,Equity,Common Stock,,2011-09-06
0105,ASPO:MK,BBG000JHPBH1,BBG000JHP8Y9,ASPO:MK,ASIA POLY HOLDINGS BHD,Equity,Common Stock,,2017-05-26
0106,REXI:MK,BBG000K3CYJ2,BBG000K3CY57,REXI:MK,REXIT BHD,Equity,Common Stock,,2016-12-13
0107,EDHB:MK,BBG000J2MTT5,BBG000J2MT24,EDHB:MK,EDUSPEC HOLDINGS BERHAD,Equity,Common Stock,,2013-11-27
0108,N2N:MK,BBG000KNN0H2,BBG000KNMZT3,N2N:MK,N2N CONNECT BHD,Equity,Common Stock,,2017-08-11
0109,SC:MK,BBG000KDXQ68,BBG000KDXP97,SC:MK,SC ESTATE BUILDER BERHAD,Equity,Common Stock,,2014-10-13
0111,KONE:MK,BBG000D4S522,BBG000D4S4B5,KONE:MK,K-ONE TECHNOLOGY BERHAD,Equity,Common Stock,,2015-03-31
0112,MKRMB:MK,BBG000BKK4L8,BBG000BKK3C0,MKRMB:MK,MIKRO MSC BERHAD,Equity,Common Stock,,2017-07-18
0113,MMSV:MK,BBG000L1YFR3,BBG000L1YDZ9,MMSV:MK,MMS VENTURES BHD,Equity,Common Stock,,2017-03-15
0116,FDGB:MK,BBG000D7NM69,BBG000D7NLZ9,FDGB:MK,FOCUS DYNAMICS GROUP BERHAD,Equity,Common Stock,,2014-10-13
0117,SMRT:MK,BBG000BYQV32,BBG000BYQTJ0,SMRT:MK,SMRT HOLDINGS BERHAD,Equity,Common Stock,,2013-07-15
0118,TRIV:MK,BBG000CWQ3Y3,BBG000CWQ3M6,TRIV:MK,TRIVE PROPERTY GROUP BERHAD,Equity,Common Stock,,2017-08-23
0119,APP:MK,BBG000BGL766,BBG000BGL6F8,APP:MK,APPASIA BERHAD,Equity,Common Stock,,2014-12-01
0120,VHB:MK,BBG000NDYW61,BBG000NDYVJ9,VHB:MK,VISDYNAMICS HOLDINGS BERHAD,Equity,Common Stock,,2017-04-05
0122,AIMB:MK,BBG000KWN5V5,BBG000KWN572,AIMB:MK,ADVANCE INFORMATION MARKETING BHD,Equity,Common Stock,,2010-10-11
0123,PRTB:MK,BBG000C1XW33,BBG000C1XV62,PRTB:MK,PRIVASIA TECHNOLOGY BERHAD,Equity,Common Stock,,2015-06-24
0126,MICL:MK,BBG000KG5103,BBG000KG50T4,MICL:MK,MICROLINK SOLUTIONS BHD,Equity,Common Stock,,2014-03-05
0127,JHMC:MK,BBG000C7MSG7,BBG000C7MS59,JHMC:MK,JHM CONSOLIDATION BERHAD,Equity,Common Stock,,2017-06-15
0128,FRCB:MK,BBG000PP0X21,BBG000PP0WW0,FRCB:MK,FRONTKEN CORPORATION BHD,Equity,Common Stock,,2017-09-15
0129,SRHB:MK,BBG000LXDQJ1,BBG000LXDQ10,SRHB:MK,SILVER RIDGE HOLDINGS,Equity,Common Stock,,2016-11-28
0131,DGSB:MK,BBG000PRFVR8,BBG000PRFV43,DGSB:MK,DIVERSIFIED GATEWAY SOLUTIONS BERHAD,Equity,Common Stock,,
0132,TDEX:MK,BBG000BM3CK6,BBG000BM3C80,TDEX:MK,TECHNODEX BHD,Equity,Common Stock,,2013-08-23
0133,SANI:MK,BBG000C1ZM88,BBG000C1ZLZ0,SANI:MK,SANICHI TECHNOLOGY BHD,Equity,Common Stock,,2017-08-30
0136,GREE:MK,BBG000PHGFF7,BBG000PHGDL5,GREE:MK,GREENYIELD BHD,Equity,Common Stock,,2016-12-30
0138,MYEG:MK,BBG000PPG4P3,BBG000PPG4C7,MYEG:MK,MY EG SERVICES BHD,Equity,Common Stock,,2017-04-21
0140,STL:MK,BBG000BVS3R2,BBG000BVS3B9,STL:MK,STERLING PROGRESS BERHAD,Equity,Common Stock,,2017-01-18
0143,KEYA:MK,BBG000DQQLP5,BBG000DQQL11,KEYA:MK,KEY ASIC BERHAD,Equity,Common Stock,,2015-01-05
0145,TFPS:MK,BBG000VB3PP4,BBG000VB3P65,TFPS:MK,TFP SOLUTIONS BHD,Equity,Common Stock,,2008-06-26
0146,JFTB:MK,BBG000TC3JR7,BBG000TC3J33,JFTB:MK,JF TECHNOLOGY BHD,Equity,Common Stock,,2016-03-09
0147,INNC:MK,BBG000GB7JH0,BBG000GB7HH4,INNC:MK,INNITY CORPORATION BEHARD,Equity,Common Stock,,
