RESULT_COUNT: 5071,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1,,,,,
TICKER,FIGI_TICKER,FIGI,COMPOSITE_FIGI,COMPOSITE_FIGI_TICKER,SECURITY_NAME,MARKET_SECTOR,SECURITY_TYPE,STOCK_EXCHANGE,LAST_CRSP_ADJ_DATE
AJRD,AJRD:US,BBG000BKRHQ7,BBG000BKRHQ7,AJRD:US,AEROJET ROCKETDYNE HOLDINGS,Equity,Common Stock,NYSE,2004-05-20
AJX,AJX:US,BBG008200KW9,BBG008200KW9,AJX:US,GREAT AJAX CORP,Equity,REIT,NYSE,2017-08-11
AKG,AKG:US,BBG000R11130,BBG000R11130,AKG:US,ASANKO GOLD INC,Equity,Common Stock,NYSE,
AKO.A,AKO/A:US,BBG000J82W71,BBG000J82W71,AKO/A:US,EMBOTELLADORA ANDINA-ADR A,Equity,ADR,NYSE,2016-10-19
AKO.B,AKO/B:US,BBG000DZ2SW8,BBG000DZ2SW8,AKO/B:US,EMBOTELLADORA ANDINA-ADR B,Equity,ADR,NYSE,2016-10-19
AKP,AKP:US,BBG000DTJPQ7,BBG000DTJPQ7,AKP:US,ALLIANCE CALIF MUNI INCOME,Equity,Closed-End Fund,NYSE,2016-09-07
AKR,AKR:US,BBG000BJGD54,BBG000BJGD54,AKR:US,ACADIA REALTY TRUST,Equity,REIT,NYSE,2017-06-28
AKS,AKS:US,BBG000BL8GJ6,BBG000BL8GJ6,AKS:US,AK STEEL HOLDING CORP,Equity,Common Stock,NYSE,2012-05-11
AL,AL:US,BBG000R3NPZ4,BBG000R3NPZ4,AL:US,AIR LEASE CORP,Equity,Common Stock,NYSE,2017-09-12
ALB,ALB:US,BBG000BJ26K7,BBG000BJ26K7,ALB:US,ALBEMARLE CORP,Equity,Common Stock,NYSE,2017-09-14
ALD,ALD:US,BBG001KR23N1,BBG001KR23N1,ALD:US,WISDOMTREE ASIA LOCAL DEBT,Equity,ETP,NYSE,2017-08-21
ALDW,ALDW:US,BBG003BY2940,BBG003BY2940,ALDW:US,ALON USA PARTNERS LP,Equity,MLP,NYSE,2017-08-15
ALE,ALE:US,BBG000CYW7N5,BBG000CYW7N5,ALE:US,ALLETE INC,Equity,Common Stock,NYSE,2017-08-11
ALEX,ALEX:US,BBG0033KWFB4,BBG0033KWFB4,ALEX:US,ALEXANDER & BALDWIN INC,Equity,Common Stock,NYSE,2017-08-03
ALFA,ALFA:US,BBG0032L2XD5,BBG0032L2XD5,ALFA:US,ALPHACLONE ALTERNATIVE ALPHA ETF,Equity,ETP,NYSE,2014-12-16
ALFI,ALFI:US,BBG00BDMWP29,BBG00BDMWP29,ALFI:US,ETF SERIES SOLUTIONS TRUST ETF,Equity,ETP,NYSE,
ALG,ALG:US,BBG000BJTZX0,BBG000BJTZX0,ALG:US,ALAMO GROUP INC,Equity,Common Stock,NYSE,2017-07-13
ALJ,ALJ:US,BBG000GM3R00,BBG000GM3R00,ALJ:US,ALON USA ENERGY INC,Equity,Common Stock,NYSE,2017-05-18
